frame_number,q_cur_left_0,q_cur_left_1,q_cur_left_2,q_cur_left_3,q_cur_left_4,q_cur_left_5,q_cur_left_6,q_cur_right_0,q_cur_right_1,q_cur_right_2,q_cur_right_3,q_cur_right_4,q_cur_right_5,q_cur_right_6,q_target_left_0,q_target_left_1,q_target_left_2,q_target_left_3,q_target_left_4,q_target_left_5,q_target_left_6,q_target_right_0,q_target_right_1,q_target_right_2,q_target_right_3,q_target_right_4,q_target_right_5,q_target_right_6,u_cur_left_0,u_cur_left_1,u_cur_left_2,u_cur_left_3,u_cur_left_4,u_cur_left_5,u_cur_left_6,u_cur_right_0,u_cur_right_1,u_cur_right_2,u_cur_right_3,u_cur_right_4,u_cur_right_5,u_cur_right_6,left_base_x,left_base_y,left_base_z,left_base_rx,left_base_ry,left_base_rz,right_base_x,right_base_y,right_base_z,right_base_rx,right_base_ry,right_base_rz,tube_centroid_x,tube_centroid_y,tube_centroid_z,tube_direction_x,tube_direction_y,tube_direction_z,human_RFIN_x,human_RFIN_y,human_RFIN_z,human_LFIN_x,human_LFIN_y,human_LFIN_z,human_RFHD_x,human_RFHD_y,human_RFHD_z,human_LFHD_x,human_LFHD_y,human_LFHD_z,right_base1_x,right_base1_y,right_base1_z,right_base2_x,right_base2_y,right_base2_z,right_base3_x,right_base3_y,right_base3_z,left_base1_x,left_base1_y,left_base1_z,left_base2_x,left_base2_y,left_base2_z,left_base3_x,left_base3_y,left_base3_z,right_tip1_x,right_tip1_y,right_tip1_z,right_tip2_x,right_tip2_y,right_tip2_z,right_tip3_x,right_tip3_y,right_tip3_z,right_tip4_x,right_tip4_y,right_tip4_z,left_tip1_x,left_tip1_y,left_tip1_z,left_tip2_x,left_tip2_y,left_tip2_z,left_tip3_x,left_tip3_y,left_tip3_z,left_tip4_x,left_tip4_y,left_tip4_z,tube_tip1_x,tube_tip1_y,tube_tip1_z,tube_tip2_x,tube_tip2_y,tube_tip2_z,tube_tip3_x,tube_tip3_y,tube_tip3_z,tube_end1_x,tube_end1_y,tube_end1_z,tube_end2_x,tube_end2_y,tube_end2_z,tube_end3_x,tube_end3_y,tube_end3_z,tube_mid1_x,tube_mid1_y,tube_mid1_z,tube_mid2_x,tube_mid2_y,tube_mid2_z,tube_mid3_x,tube_mid3_y,tube_mid3_z,head_x,head_y,head_z,target_x,target_y,target_z,state_idx
4099791,-89.9929,90.0053,-14.9891,44.9909,5.00323,4.98996,-174.997,89.9844,90.0121,15.0033,44.9893,4.99833,4.98973,4.99562,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.24872,1.77885,2.13936,-5.95816,-0.647227,-1.95747,-0.208751,-8.07213,4.90815,-2.59181,-5.46222,-0.170042,-1.39077,-0.519688,0.0179757,-0.441059,1.5031,1.92115,0.263387,-1.71085,-0.0698447,-0.423845,1.50828,-2.03211,0.265574,-1.79563,-0.856526,-0.0870772,1.25218,0.0110934,0.999924,0.00541966,-0.210203,-0.88185,1.00474,-0.00518859,-0.927554,1.04223,-0.181155,-0.853963,1.63023,-0.0943063,-0.897443,1.63215,-175.957,-353.622,1581.82,-162.248,-393.646,1618.5,-202.487,-363.82,1528.33,148.513,-409.978,1563.59,133.199,-428.368,1593.8,163.755,-423.113,1512.68,-345.067,-160.705,801.628,-314.899,-113.56,832.684,-261.787,-157.105,842.992,-330.984,-124.919,866.756,208.457,-274.912,816.623,262.875,-239.495,810.521,286.611,-285.137,768.939,277.515,-256.484,841.237,-860.812,-879.22,1234.85,-861.254,-877.989,1281.35,-899.633,-880.751,1265.44,-881.663,704.848,1254.51,-853.356,702.771,1294.49,-834.191,702.659,1258.32,-884.328,-518.125,1239.7,-881.38,-518.962,1283.93,-843.279,-519.809,1259.63,-0.128908,-0.833397,1.68461,0.227025,-1.41808,1.70869,0
4099792,-89.9929,90.0053,-14.9891,44.9909,5.00323,4.98996,-174.997,89.9844,90.0121,15.0033,44.9893,4.99833,4.98973,4.99562,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.24872,1.77885,2.13936,-5.95816,-0.647227,-1.95747,-0.208751,-8.07213,4.90815,-2.59181,-5.46222,-0.170042,-1.39077,-0.519688,0.0183338,-0.440546,1.50286,1.92123,0.261647,-1.70902,-0.0691506,-0.423007,1.50862,-2.0278,0.265105,-1.79375,-0.856526,-0.0870772,1.25218,0.0110934,0.999924,0.00541966,-0.210665,-0.881921,1.00544,-0.00454025,-0.927475,1.04164,-0.18164,-0.857757,1.62477,-0.0943789,-0.900196,1.62724,-175.62,-352.831,1581.62,-162.037,-392.861,1618.41,-202.045,-363.348,1527.85,148.815,-409.195,1563.26,133.537,-427.577,1593.51,164.062,-422.413,1512.39,-345.248,-160.947,801.263,-314.978,-113.757,832.268,-261.968,-157.275,842.545,-331.13,-125.066,866.335,208.42,-274.959,816.244,262.748,-239.737,809.908,286.43,-285.41,768.348,277.306,-256.722,840.596,-860.844,-879.167,1234.87,-861.261,-877.975,1281.35,-899.636,-880.751,1265.44,-881.633,704.836,1254.5,-853.342,702.788,1294.47,-834.159,702.65,1258.35,-884.346,-518.12,1239.7,-881.379,-518.963,1283.92,-843.271,-519.834,1259.67,-0.128955,-0.833668,1.68422,0.22701,-1.41807,1.7087,0
4099793,-89.9929,90.0053,-14.9891,44.9907,5.00323,4.98996,-174.997,89.9836,90.0123,15.0033,44.9889,4.99833,4.98967,4.99562,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.18131,1.84942,2.15128,-5.90039,-0.650126,-1.93522,-0.210447,-8.12598,4.75834,-2.61697,-5.523,-0.212893,-1.41012,-0.50983,0.0185554,-0.439763,1.50279,1.91999,0.259873,-1.70995,-0.0693091,-0.422439,1.50789,-2.03297,0.262961,-1.7965,-0.856526,-0.0870772,1.25218,0.0110934,0.999924,0.00541966,-0.211129,-0.881969,1.00608,-0.00372511,-0.927312,1.04109,-0.182014,-0.861426,1.61931,-0.0944705,-0.902941,1.62233,-175.271,-351.962,1581.41,-161.534,-391.91,1618.18,-201.913,-362.312,1527.93,149.138,-408.426,1562.94,133.882,-426.776,1593.25,164.304,-421.769,1512.04,-345.374,-161.171,800.911,-315.125,-113.989,831.765,-262.088,-157.509,842.105,-331.2,-125.239,865.857,207.792,-276.389,815.129,262.582,-240.003,809.24,286.285,-285.707,767.753,277.199,-256.919,839.974,-860.846,-879.155,1234.88,-861.286,-877.958,1281.35,-899.64,-880.757,1265.43,-881.66,704.853,1254.52,-853.354,702.783,1294.48,-834.189,702.669,1258.33,-884.348,-518.125,1239.7,-881.386,-518.958,1283.95,-843.266,-519.838,1259.68,-0.129002,-0.833959,1.68381,0.227019,-1.41808,1.70868,0
4099794,-89.9929,90.0053,-14.9891,44.9907,5.00323,4.98996,-174.997,89.9827,90.0123,15.0032,44.9885,4.99833,4.9894,4.99562,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.08319,1.95512,2.12177,-5.88587,-0.645277,-1.92779,-0.233554,-8.18981,4.6866,-2.61248,-5.67206,-0.202446,-1.4449,-0.527465,0.0188342,-0.439221,1.50249,1.91989,0.258115,-1.70977,-0.0691891,-0.422025,1.50776,-2.0329,0.260752,-1.79878,-0.856526,-0.0870772,1.25218,0.0110934,0.999924,0.00541966,-0.211609,-0.882086,1.00667,-0.0029245,-0.927268,1.04081,-0.182347,-0.864965,1.61395,-0.0944847,-0.905631,1.61739,-174.95,-351.118,1581.18,-161.277,-391.149,1618.08,-201.654,-361.531,1527.7,149.439,-407.689,1562.56,134.198,-425.977,1592.92,164.597,-421.077,1511.7,-345.507,-161.403,800.543,-315.219,-114.217,831.281,-262.152,-157.663,841.636,-331.33,-125.449,865.358,207.664,-276.616,814.581,262.234,-240.496,808.503,286.116,-286.041,767.196,277.085,-257.171,839.365,-860.808,-879.286,1234.87,-861.299,-877.957,1281.34,-899.647,-880.743,1265.43,-881.65,704.839,1254.5,-853.366,702.782,1294.49,-834.182,702.652,1258.32,-884.35,-518.11,1239.69,-881.386,-518.958,1283.93,-843.307,-519.813,1259.65,-0.129051,-0.834272,1.68336,0.227025,-1.41808,1.70869,0
4099795,-89.9929,90.0054,-14.9891,44.9906,5.00323,4.98991,-174.997,89.9829,90.0123,15.0032,44.9885,4.99833,4.98924,4.99562,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.02294,2.06055,2.06715,-5.83266,-0.631322,-1.90341,-0.206161,-8.25474,4.6876,-2.65919,-5.66976,-0.202311,-1.45727,-0.528313,0.019143,-0.438216,1.50225,1.91962,0.257704,-1.71053,-0.0689749,-0.421378,1.50747,-2.03392,0.258946,-1.79968,-0.856526,-0.0870772,1.25218,0.0110934,0.999924,0.00541966,-0.212091,-0.882165,1.00709,-0.0021399,-0.92727,1.04063,-0.182509,-0.868454,1.60865,-0.0943663,-0.908251,1.61238,-174.583,-350.258,1580.93,-160.881,-390.192,1617.87,-201.356,-360.702,1527.52,149.774,-406.86,1562.24,134.525,-425.152,1592.6,164.897,-420.35,1511.35,-345.593,-161.659,800.129,-315.383,-114.427,830.779,-262.182,-157.879,841.213,-331.365,-125.573,864.902,207.565,-275.696,814.988,262.308,-240.58,807.985,285.955,-286.41,766.62,277.029,-257.407,838.77,-860.87,-879.125,1234.88,-861.285,-877.957,1281.33,-899.656,-880.748,1265.44,-881.662,704.851,1254.52,-853.353,702.793,1294.48,-834.239,702.731,1258.3,-884.357,-518.115,1239.71,-881.407,-518.935,1283.93,-843.314,-519.784,1259.65,-0.1291,-0.834606,1.68287,0.227016,-1.41808,1.7087,0
4099796,-89.9929,90.0054,-14.9891,44.9906,5.00323,4.98985,-174.997,89.9828,90.0124,15.0032,44.9885,4.99833,4.98913,4.99562,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.02451,2.09856,2.05621,-5.87639,-0.655823,-1.93805,-0.22541,-8.27827,4.75099,-2.66291,-5.62034,-0.203335,-1.42518,-0.515762,0.0193411,-0.437185,1.50203,1.9191,0.256346,-1.71316,-0.0686397,-0.421611,1.50746,-2.03347,0.24931,-1.79426,-0.856526,-0.0870772,1.25218,0.0110934,0.999924,0.00541966,-0.212615,-0.882255,1.00742,-0.00123596,-0.927236,1.04047,-0.18259,-0.871924,1.60291,-0.0941548,-0.910795,1.60743,-174.269,-349.351,1580.7,-160.095,-388.9,1618.41,-201.095,-359.922,1527.29,150.089,-406.093,1561.89,134.808,-424.325,1592.29,165.142,-419.692,1511.01,-345.705,-161.906,799.71,-315.393,-114.636,830.281,-262.222,-158.019,840.769,-331.413,-125.705,864.457,207.406,-277.359,813.418,262.196,-240.902,807.344,285.792,-286.833,765.993,276.927,-257.705,838.095,-860.851,-879.206,1234.91,-861.292,-877.967,1281.33,-899.663,-880.749,1265.44,-881.658,704.835,1254.5,-853.352,702.784,1294.48,-834.099,702.59,1258.38,-884.363,-518.112,1239.7,-881.401,-518.954,1283.94,-843.386,-519.69,1259.59,-0.129148,-0.834959,1.68235,0.227024,-1.41808,1.7087,0
4099797,-89.9929,90.0054,-14.9891,44.9905,5.00323,4.98975,-174.997,89.9827,90.0124,15.0032,44.9885,4.99833,4.98902,4.99562,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.02837,2.02529,2.10345,-5.96543,-0.661533,-1.954,-0.217847,-8.28754,4.8279,-2.72042,-5.62517,-0.192907,-1.44765,-0.515971,0.0196449,-0.436844,1.50185,1.91876,0.253944,-1.7104,-0.0684438,-0.419894,1.50719,-2.03375,0.254701,-1.79963,-0.856526,-0.0870772,1.25218,0.0110934,0.999924,0.00541966,-0.213163,-0.882306,1.00766,-0.000365836,-0.927312,1.04036,-0.18264,-0.874974,1.59799,-0.0938021,-0.913198,1.60253,-173.988,-348.446,1580.45,-160.247,-388.312,1617.58,-200.811,-359.112,1527.09,150.335,-405.298,1561.54,135.122,-423.52,1591.99,165.388,-419.003,1510.67,-345.78,-162.11,799.232,-315.442,-114.802,829.766,-262.267,-158.21,840.254,-331.365,-125.874,863.946,207.353,-277.609,812.884,262.117,-241.296,806.644,285.69,-287.202,765.417,276.844,-257.996,837.432,-860.822,-879.243,1234.88,-861.318,-877.949,1281.34,-899.664,-880.759,1265.44,-881.655,704.851,1254.51,-853.36,702.786,1294.48,-834.161,702.644,1258.34,-884.379,-518.112,1239.71,-881.41,-518.966,1283.93,-843.338,-519.776,1259.64,-0.129196,-0.835332,1.68179,0.227022,-1.41807,1.70868,0
4099798,-89.9929,90.0054,-14.9891,44.9905,5.00323,4.98975,-174.997,89.9827,90.0124,15.0032,44.9885,4.99833,4.98902,4.99562,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.02837,2.02529,2.10345,-5.96543,-0.661533,-1.954,-0.217847,-8.28754,4.8279,-2.72042,-5.62517,-0.192907,-1.44765,-0.515971,0.0198543,-0.435758,1.50161,1.91853,0.253534,-1.71217,-0.0680492,-0.418985,1.50701,-2.0335,0.25329,-1.798,-0.856526,-0.0870772,1.25218,0.0110934,0.999924,0.00541966,-0.21374,-0.882367,1.0079,0.000491768,-0.927396,1.04031,-0.182817,-0.877941,1.59314,-0.0933627,-0.915427,1.59781,-173.689,-347.553,1580.19,-159.873,-387.342,1617.39,-200.489,-358.296,1526.85,150.599,-404.527,1561.21,135.365,-422.728,1591.66,165.6,-418.331,1510.35,-345.793,-162.318,798.771,-315.472,-115.009,829.263,-262.292,-158.334,839.719,-331.325,-125.997,863.443,207.238,-277.953,812.312,262.03,-241.654,806.028,285.59,-287.612,764.794,276.774,-258.329,836.798,-860.866,-879.22,1234.89,-861.313,-877.968,1281.33,-899.671,-880.764,1265.43,-881.664,704.843,1254.51,-853.369,702.791,1294.49,-834.187,702.658,1258.33,-884.375,-518.119,1239.69,-881.412,-518.962,1283.92,-843.367,-519.782,1259.62,-0.129243,-0.835722,1.68121,0.227031,-1.41807,1.70869,0
4099799,-89.9929,90.0054,-14.989,44.9905,5.00323,4.98969,-174.997,89.9827,90.0124,15.0032,44.9884,4.99833,4.98885,4.99562,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.08707,1.96873,2.18192,-6.05151,-0.668946,-1.94994,-0.21253,-8.29527,4.87315,-2.77267,-5.65367,-0.184016,-1.45931,-0.493979,0.020042,-0.434928,1.5014,1.91799,0.252518,-1.71332,-0.0681618,-0.41953,1.50688,-2.03324,0.245407,-1.79973,-0.856526,-0.0870772,1.25218,0.0110934,0.999924,0.00541966,-0.214363,-0.882415,1.00812,0.00135994,-0.927457,1.04026,-0.18249,-0.880715,1.58841,-0.0928595,-0.917526,1.59334,-173.437,-346.813,1579.8,-159.531,-386.359,1617.51,-200.281,-357.541,1526.63,150.853,-403.809,1560.88,135.615,-421.982,1591.36,165.803,-417.689,1510.02,-345.782,-162.396,798.306,-315.419,-115.184,828.673,-262.24,-158.522,839.191,-331.338,-126.104,862.894,207.199,-278.309,811.733,261.975,-241.983,805.416,285.491,-288.059,764.233,276.636,-258.731,836.088,-860.83,-879.22,1234.85,-861.36,-877.925,1281.33,-899.706,-880.744,1265.42,-881.654,704.836,1254.51,-853.367,702.773,1294.48,-834.171,702.628,1258.34,-884.383,-518.122,1239.69,-881.429,-518.966,1283.93,-843.354,-519.785,1259.62,-0.129287,-0.836128,1.68059,0.227009,-1.41809,1.70869,0
4099800,-89.9929,90.0054,-14.989,44.9904,5.00323,4.98958,-174.997,89.9827,90.0125,15.0032,44.9883,4.99833,4.98864,4.99562,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.18208,1.93054,2.27638,-6.11341,-0.662804,-1.9901,-0.217013,-8.25872,4.95456,-2.85069,-5.74449,-0.207506,-1.49216,-0.50547,0.020232,-0.434257,1.50121,1.91762,0.251123,-1.7137,-0.0677397,-0.417727,1.50655,-2.03419,0.249898,-1.80001,-0.856521,-0.0870755,1.25218,0.0110886,0.999924,0.0054187,-0.214998,-0.882446,1.00836,0.00224412,-0.927583,1.04027,-0.182178,-0.883341,1.58391,-0.0922523,-0.919461,1.58905,-173.151,-345.901,1579.65,-159.358,-385.669,1616.97,-200.056,-356.793,1526.37,151.084,-403.104,1560.58,135.855,-421.238,1591.09,166,-417.059,1509.73,-345.767,-162.6,797.952,-315.343,-115.278,828.147,-262.175,-158.622,838.764,-331.224,-126.187,862.365,207.148,-278.665,811.192,261.964,-242.354,804.827,285.415,-288.501,763.708,276.665,-259.011,835.633,-860.882,-879.188,1234.79,-861.346,-877.947,1281.31,-899.688,-880.762,1265.42,-881.646,704.833,1254.51,-853.368,702.778,1294.48,-834.159,702.594,1258.34,-884.37,-518.119,1239.68,-881.423,-518.955,1283.9,-843.356,-519.773,1259.62,-0.129328,-0.83655,1.67994,0.227021,-1.41808,1.70869,0
