frame_number,q_cur_left_0,q_cur_left_1,q_cur_left_2,q_cur_left_3,q_cur_left_4,q_cur_left_5,q_cur_left_6,q_cur_right_0,q_cur_right_1,q_cur_right_2,q_cur_right_3,q_cur_right_4,q_cur_right_5,q_cur_right_6,q_target_left_0,q_target_left_1,q_target_left_2,q_target_left_3,q_target_left_4,q_target_left_5,q_target_left_6,q_target_right_0,q_target_right_1,q_target_right_2,q_target_right_3,q_target_right_4,q_target_right_5,q_target_right_6,u_cur_left_0,u_cur_left_1,u_cur_left_2,u_cur_left_3,u_cur_left_4,u_cur_left_5,u_cur_left_6,u_cur_right_0,u_cur_right_1,u_cur_right_2,u_cur_right_3,u_cur_right_4,u_cur_right_5,u_cur_right_6,left_base_x,left_base_y,left_base_z,left_base_rx,left_base_ry,left_base_rz,right_base_x,right_base_y,right_base_z,right_base_rx,right_base_ry,right_base_rz,tube_centroid_x,tube_centroid_y,tube_centroid_z,tube_direction_x,tube_direction_y,tube_direction_z,human_RFIN_x,human_RFIN_y,human_RFIN_z,human_LFIN_x,human_LFIN_y,human_LFIN_z,human_RFHD_x,human_RFHD_y,human_RFHD_z,human_LFHD_x,human_LFHD_y,human_LFHD_z,right_base1_x,right_base1_y,right_base1_z,right_base2_x,right_base2_y,right_base2_z,right_base3_x,right_base3_y,right_base3_z,left_base1_x,left_base1_y,left_base1_z,left_base2_x,left_base2_y,left_base2_z,left_base3_x,left_base3_y,left_base3_z,right_tip1_x,right_tip1_y,right_tip1_z,right_tip2_x,right_tip2_y,right_tip2_z,right_tip3_x,right_tip3_y,right_tip3_z,right_tip4_x,right_tip4_y,right_tip4_z,left_tip1_x,left_tip1_y,left_tip1_z,left_tip2_x,left_tip2_y,left_tip2_z,left_tip3_x,left_tip3_y,left_tip3_z,left_tip4_x,left_tip4_y,left_tip4_z,tube_tip1_x,tube_tip1_y,tube_tip1_z,tube_tip2_x,tube_tip2_y,tube_tip2_z,tube_tip3_x,tube_tip3_y,tube_tip3_z,tube_end1_x,tube_end1_y,tube_end1_z,tube_end2_x,tube_end2_y,tube_end2_z,tube_end3_x,tube_end3_y,tube_end3_z,tube_mid1_x,tube_mid1_y,tube_mid1_z,tube_mid2_x,tube_mid2_y,tube_mid2_z,tube_mid3_x,tube_mid3_y,tube_mid3_z,head_x,head_y,head_z,target_x,target_y,target_z,state_idx
3758343,-89.9937,90.003,-14.9942,44.9915,5.002,4.9929,-174.996,89.9858,90.0085,14.9983,44.9921,4.99922,4.99033,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.41454,1.58756,1.84254,-6.278,-0.688625,-2.0805,-0.0762477,-7.4012,5.40324,-2.18823,-5.53597,-0.241087,-1.20482,-0.498958,0.0535723,-0.535603,1.50053,1.90344,0.242048,-1.60291,-0.034575,-0.533837,1.50475,-2.04197,0.233439,-1.67272,-0.854824,0.0974164,1.2527,-0.012757,0.999915,0.00274001,0,0,0,0,0,0,0,0,0,0,0,0,-147.71,-475.267,1577.92,-128.729,-511.726,1615.34,-173.335,-490.207,1525.4,180.81,-490.064,1557.51,168.214,-509.639,1588.24,196.463,-503.104,1506.52,-346.783,-324.796,795.691,-322.641,-273.45,824.966,-264.04,-310.27,835.503,-336.494,-285.923,859.482,217.608,-367.348,806.845,267.154,-324.736,799.644,296.103,-368.136,758.763,283.844,-339.3,830.305,-877.771,-693.144,1248.12,-831.481,-690.745,1252.32,-850.837,-694.473,1289.09,-891.162,890.551,1291.39,-846.592,889.201,1266.58,-882.783,888.809,1244.59,-837.578,-332.112,1277.3,-882.025,-332.238,1276.34,-859.085,-332.82,1237.52,0,0,0,0.227005,-1.4178,1.70879,0
3758344,-89.9936,90.003,-14.9942,44.9914,5.002,4.9929,-174.996,89.9855,90.0086,14.9983,44.9921,4.99922,4.99027,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.38743,1.5565,1.81281,-6.28539,-0.703236,-2.097,-0.0806084,-7.41364,5.38586,-2.16483,-5.5286,-0.269332,-1.19649,-0.490814,0.0541599,-0.537083,1.49983,1.90811,0.241776,-1.59399,-0.03466,-0.534393,1.50489,-2.03952,0.231631,-1.67271,-0.854824,0.0974164,1.2527,-0.012757,0.999915,0.00274001,0,0,0,0,0,0,0,0,0,0,0,0,-147.907,-475.455,1577.73,-129.034,-511.66,1615.26,-173.332,-490.183,1525.39,180.791,-489.997,1557.5,168.199,-509.565,1588.24,196.818,-502.704,1506.54,-346.754,-324.892,795.6,-322.668,-273.526,824.926,-264.057,-310.332,835.442,-336.501,-286.002,859.418,217.538,-367.355,806.801,267.117,-324.728,799.632,296.111,-368.141,758.76,283.857,-339.301,830.289,-877.76,-693.143,1248.11,-831.476,-690.729,1252.31,-850.848,-694.453,1289.1,-891.159,890.581,1291.4,-846.632,889.219,1266.58,-882.868,888.868,1244.59,-837.421,-332.104,1277.52,-882.015,-332.239,1276.34,-859.095,-332.794,1237.57,0,0,0,0.22702,-1.4178,1.70878,0
3758345,-89.9936,90.003,-14.9942,44.9914,5.002,4.9929,-174.996,89.9852,90.0088,14.9983,44.9908,4.99922,4.99016,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.38743,1.5565,1.81281,-6.28539,-0.703236,-2.097,-0.0806084,-7.4439,5.43454,-2.15992,-5.52524,-0.243664,-1.20955,-0.498082,0.0544406,-0.537708,1.4995,1.91031,0.241785,-1.58962,-0.0346279,-0.533863,1.50508,-2.03894,0.233986,-1.67485,-0.854824,0.0974164,1.2527,-0.012757,0.999915,0.00274001,0,0,0,0,0,0,0,0,0,0,0,0,-147.838,-475.209,1577.88,-129.144,-511.578,1615.2,-173.32,-490.153,1525.33,180.771,-489.913,1557.49,168.187,-509.483,1588.22,196.97,-502.463,1506.55,-346.779,-324.993,795.541,-322.649,-273.637,824.852,-264.074,-310.418,835.379,-336.504,-286.064,859.352,217.987,-367.388,806.84,267.122,-324.722,799.601,296.118,-368.121,758.732,283.852,-339.293,830.27,-877.772,-693.123,1248.12,-831.493,-690.707,1252.32,-850.871,-694.416,1289.06,-891.161,890.573,1291.38,-846.614,889.227,1266.6,-882.834,888.843,1244.59,-837.591,-332.098,1277.26,-882.021,-332.234,1276.35,-859.04,-332.846,1237.51,0,0,0,0.227008,-1.41781,1.70879,0
3758346,-89.9935,90.003,-14.994,44.9912,5.002,4.99284,-174.996,89.9852,90.0088,14.9983,44.9908,4.99922,4.98984,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.28885,1.49467,1.8199,-6.29793,-0.684725,-2.11187,-0.0935592,-7.46507,5.39329,-2.19041,-5.56684,-0.238888,-1.22044,-0.502609,0.054625,-0.538531,1.49907,1.91133,0.244296,-1.58613,-0.0340613,-0.531994,1.50449,-2.04193,0.238014,-1.6608,-0.854824,0.0974164,1.2527,-0.012757,0.999915,0.00274001,0,0,0,0,0,0,0,0,0,0,0,0,-147.921,-475.137,1577.86,-128.541,-511.483,1615.09,-173.325,-490.121,1525.3,180.749,-489.823,1557.47,168.187,-509.394,1588.2,197.103,-501.968,1506.4,-346.78,-325.088,795.494,-322.655,-273.72,824.78,-264.076,-310.505,835.301,-336.527,-286.117,859.294,218.001,-367.394,806.803,267.142,-324.702,799.557,296.125,-368.106,758.724,283.847,-339.271,830.236,-877.762,-693.129,1248.12,-831.475,-690.719,1252.32,-850.864,-694.42,1289.08,-891.159,890.578,1291.39,-846.618,889.212,1266.59,-882.866,888.883,1244.58,-837.567,-332.121,1277.28,-882.023,-332.23,1276.35,-859.057,-332.799,1237.53,0,0,0,0.227004,-1.41781,1.70879,0
3758347,-89.9935,90.003,-14.994,44.9912,5.002,4.99279,-174.996,89.9852,90.0089,14.9983,44.9906,4.99922,4.98967,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.24022,1.47456,1.81443,-6.30179,-0.671118,-2.07467,-0.0698881,-7.51163,5.35013,-2.20324,-5.59764,-0.262842,-1.22341,-0.496126,0.0544677,-0.537531,1.49946,1.91054,0.241419,-1.5892,-0.0339345,-0.531889,1.50441,-2.04046,0.237949,-1.65518,-0.854824,0.0974164,1.2527,-0.012757,0.999915,0.00274001,0,0,0,0,0,0,0,0,0,0,0,0,-148.171,-475.309,1577.68,-128.6,-511.51,1615.06,-173.351,-490.065,1525.25,180.766,-489.737,1557.45,168.181,-509.322,1588.18,196.974,-502.323,1506.53,-346.762,-325.203,795.409,-322.673,-273.809,824.716,-264.092,-310.605,835.217,-336.549,-286.213,859.235,218.005,-367.348,806.786,267.137,-324.673,799.551,296.125,-368.101,758.666,283.85,-339.239,830.225,-877.776,-693.114,1248.12,-831.483,-690.7,1252.32,-850.851,-694.43,1289.1,-891.179,890.607,1291.38,-846.652,889.214,1266.54,-882.801,888.817,1244.57,-837.555,-332.092,1277.32,-882.025,-332.221,1276.35,-859.094,-332.791,1237.56,0,0,0,0.226998,-1.4178,1.70878,0
3758348,-89.9935,90.003,-14.994,44.9912,5.002,4.99279,-174.996,89.9852,90.0089,14.9983,44.9906,4.99922,4.98967,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.24022,1.47456,1.81443,-6.30179,-0.671118,-2.07467,-0.0698881,-7.51163,5.35013,-2.20324,-5.59764,-0.262842,-1.22341,-0.496126,0.054436,-0.53739,1.49948,1.91022,0.241524,-1.5897,-0.033751,-0.531406,1.50446,-2.03947,0.238602,-1.6513,-0.854824,0.0974164,1.2527,-0.012757,0.999915,0.00274001,0,0,0,0,0,0,0,0,0,0,0,0,-148.266,-475.261,1577.66,-128.585,-511.461,1615.06,-173.326,-490.034,1525.23,180.773,-489.664,1557.43,168.185,-509.257,1588.17,196.961,-502.261,1506.5,-346.8,-325.317,795.374,-322.695,-273.933,824.625,-264.116,-310.682,835.171,-336.573,-286.273,859.189,218.031,-367.34,806.742,267.149,-324.666,799.51,296.13,-368.074,758.639,283.887,-339.217,830.204,-877.762,-693.114,1248.12,-831.48,-690.717,1252.31,-850.842,-694.435,1289.1,-891.158,890.589,1291.39,-846.596,889.221,1266.6,-882.836,888.862,1244.58,-837.586,-332.111,1277.31,-882.012,-332.212,1276.34,-859.118,-332.726,1237.53,0,0,0,0.227022,-1.41782,1.70878,0
3758349,-89.9934,90.003,-14.994,44.9912,5.002,4.99273,-174.996,89.9852,90.0089,14.9983,44.9906,4.99922,4.9894,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.18398,1.43258,1.74152,-6.27504,-0.685231,-2.09188,-0.0738056,-7.61836,5.33368,-2.24708,-5.60584,-0.244258,-1.19872,-0.49024,0.0546032,-0.538119,1.49901,1.91142,0.244417,-1.58721,-0.0344039,-0.533368,1.50404,-2.04262,0.237651,-1.6661,-0.854824,0.0974164,1.2527,-0.012757,0.999915,0.00274001,0,0,0,0,0,0,0,0,0,0,0,0,-147.855,-475.237,1577.64,-128.575,-511.337,1615.01,-173.379,-489.668,1525.11,180.775,-489.6,1557.42,168.186,-509.179,1588.16,197.117,-501.775,1506.36,-346.826,-325.433,795.316,-322.734,-274.04,824.575,-264.12,-310.778,835.106,-336.563,-286.416,859.09,218.051,-367.323,806.716,267.156,-324.641,799.487,296.138,-368.037,758.621,283.914,-339.22,830.17,-877.764,-693.116,1248.12,-831.487,-690.704,1252.32,-850.831,-694.452,1289.09,-891.176,890.603,1291.38,-846.665,889.232,1266.57,-882.895,888.899,1244.62,-837.559,-332.116,1277.32,-882.023,-332.224,1276.33,-859.704,-332.709,1237.02,0,0,0,0.227012,-1.41781,1.70878,0
3758350,-89.9935,90.003,-14.994,44.9912,5.002,4.99262,-174.996,89.9851,90.0089,14.9983,44.9904,4.99922,4.98885,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.07577,1.38569,1.70578,-6.33833,-0.681086,-2.1079,-0.0982779,-7.73559,5.36965,-2.28006,-5.59917,-0.250737,-1.22201,-0.494256,0.0546017,-0.538027,1.49901,1.9113,0.244477,-1.58707,-0.033802,-0.531454,1.50424,-2.0392,0.242018,-1.6523,-0.854824,0.0974164,1.2527,-0.012757,0.999915,0.00274001,0,0,0,0,0,0,0,0,0,0,0,0,-148.273,-475.158,1577.64,-128.634,-511.338,1614.98,-173.352,-489.607,1525.09,180.772,-489.522,1557.4,168.19,-509.109,1588.13,197.108,-501.704,1506.34,-346.843,-325.534,795.25,-322.735,-274.144,824.488,-264.099,-310.857,835.045,-336.529,-286.559,858.984,218.042,-367.292,806.699,267.166,-324.608,799.472,296.152,-368.022,758.611,283.884,-339.168,830.146,-877.755,-693.11,1248.13,-831.488,-690.728,1252.33,-850.846,-694.423,1289.08,-891.16,890.592,1291.4,-846.593,889.215,1266.59,-882.882,888.908,1244.57,-837.565,-332.125,1277.3,-882.027,-332.225,1276.34,-859.692,-332.713,1237.02,0,0,0,0.227004,-1.41781,1.70878,0
3758351,-89.9935,90.003,-14.994,44.9912,5.002,4.99257,-174.996,89.985,90.0089,14.9983,44.9904,4.99922,4.98869,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.0194,1.36489,1.65812,-6.3295,-0.687412,-2.09639,-0.10909,-7.81472,5.40478,-2.32826,-5.59437,-0.267692,-1.22055,-0.495894,0.0546727,-0.538114,1.49899,1.91145,0.244252,-1.58582,-0.0337034,-0.53122,1.50425,-2.03894,0.241683,-1.65012,-0.854824,0.0974164,1.2527,-0.012757,0.999915,0.00274001,0,0,0,0,0,0,0,0,0,0,0,0,-148.306,-475.086,1577.61,-128.589,-511.201,1614.99,-173.335,-489.553,1525.08,180.775,-489.453,1557.38,168.21,-509.058,1588.12,197.133,-501.633,1506.32,-346.85,-325.654,795.182,-322.77,-274.251,824.43,-264.123,-310.966,835.001,-336.594,-286.615,858.941,218.015,-367.301,806.671,267.156,-324.598,799.447,296.151,-368.016,758.571,283.858,-339.174,830.111,-877.758,-693.123,1248.12,-831.473,-690.73,1252.33,-850.865,-694.427,1289.09,-891.174,890.6,1291.39,-846.672,889.179,1266.57,-882.892,888.892,1244.63,-837.557,-332.124,1277.31,-882.016,-332.237,1276.34,-859.072,-332.799,1237.54,0,0,0,0.226999,-1.4178,1.70878,0
3758352,-89.9935,90.003,-14.994,44.9911,5.002,4.99241,-174.996,89.9849,90.0089,14.9983,44.9904,4.99922,4.98853,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.90876,1.31312,1.62981,-6.33062,-0.697802,-2.12145,-0.0958884,-7.88667,5.4478,-2.36804,-5.56532,-0.246193,-1.19723,-0.477929,0.0546431,-0.537927,1.49896,1.91153,0.244375,-1.58678,-0.0343002,-0.533093,1.50404,-2.04219,0.237441,-1.66434,-0.854825,0.0974163,1.25269,-0.012758,0.999915,0.00274046,0,0,0,0,0,0,0,0,0,0,0,0,-147.87,-475.054,1577.6,-128.549,-511.021,1614.98,-173.352,-489.497,1525.05,180.789,-489.391,1557.37,168.204,-508.98,1588.1,197.136,-501.57,1506.32,-346.873,-325.73,795.168,-322.785,-274.336,824.383,-264.125,-311.035,834.946,-336.579,-286.708,858.89,218.022,-367.309,806.651,267.088,-324.704,799.335,296.123,-368.01,758.568,283.865,-339.152,830.081,-877.764,-693.137,1248.12,-831.471,-690.729,1252.33,-850.853,-694.432,1289.09,-891.196,890.592,1291.38,-846.675,889.192,1266.57,-882.859,888.879,1244.58,-837.58,-332.077,1277.29,-882.02,-332.229,1276.34,-859.088,-332.807,1237.56,0,0,0,0.227008,-1.41781,1.70877,0
