frame_number,q_cur_left_0,q_cur_left_1,q_cur_left_2,q_cur_left_3,q_cur_left_4,q_cur_left_5,q_cur_left_6,q_cur_right_0,q_cur_right_1,q_cur_right_2,q_cur_right_3,q_cur_right_4,q_cur_right_5,q_cur_right_6,q_target_left_0,q_target_left_1,q_target_left_2,q_target_left_3,q_target_left_4,q_target_left_5,q_target_left_6,q_target_right_0,q_target_right_1,q_target_right_2,q_target_right_3,q_target_right_4,q_target_right_5,q_target_right_6,u_cur_left_0,u_cur_left_1,u_cur_left_2,u_cur_left_3,u_cur_left_4,u_cur_left_5,u_cur_left_6,u_cur_right_0,u_cur_right_1,u_cur_right_2,u_cur_right_3,u_cur_right_4,u_cur_right_5,u_cur_right_6,left_base_x,left_base_y,left_base_z,left_base_rx,left_base_ry,left_base_rz,right_base_x,right_base_y,right_base_z,right_base_rx,right_base_ry,right_base_rz,tube_centroid_x,tube_centroid_y,tube_centroid_z,tube_direction_x,tube_direction_y,tube_direction_z,human_RFIN_x,human_RFIN_y,human_RFIN_z,human_LFIN_x,human_LFIN_y,human_LFIN_z,human_RFHD_x,human_RFHD_y,human_RFHD_z,human_LFHD_x,human_LFHD_y,human_LFHD_z,right_base1_x,right_base1_y,right_base1_z,right_base2_x,right_base2_y,right_base2_z,right_base3_x,right_base3_y,right_base3_z,left_base1_x,left_base1_y,left_base1_z,left_base2_x,left_base2_y,left_base2_z,left_base3_x,left_base3_y,left_base3_z,right_tip1_x,right_tip1_y,right_tip1_z,right_tip2_x,right_tip2_y,right_tip2_z,right_tip3_x,right_tip3_y,right_tip3_z,right_tip4_x,right_tip4_y,right_tip4_z,left_tip1_x,left_tip1_y,left_tip1_z,left_tip2_x,left_tip2_y,left_tip2_z,left_tip3_x,left_tip3_y,left_tip3_z,left_tip4_x,left_tip4_y,left_tip4_z,tube_tip1_x,tube_tip1_y,tube_tip1_z,tube_tip2_x,tube_tip2_y,tube_tip2_z,tube_tip3_x,tube_tip3_y,tube_tip3_z,tube_end1_x,tube_end1_y,tube_end1_z,tube_end2_x,tube_end2_y,tube_end2_z,tube_end3_x,tube_end3_y,tube_end3_z,tube_mid1_x,tube_mid1_y,tube_mid1_z,tube_mid2_x,tube_mid2_y,tube_mid2_z,tube_mid3_x,tube_mid3_y,tube_mid3_z,head_x,head_y,head_z,target_x,target_y,target_z,state_idx
3774989,-89.9913,90.0041,-14.9933,44.9907,5.00178,4.993,-174.997,89.9838,90.0126,14.9979,44.9903,4.99922,4.98869,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,8.39554,2.13351,2.85597,-6.72426,-0.70726,-2.1964,-0.0802516,-7.86197,4.52404,-2.40444,-5.95785,-0.265373,-1.29145,-0.505891,-0.0042244,-0.517095,1.51829,1.98856,0.28305,-1.49037,-0.0935407,-0.52174,1.51681,-1.9636,0.283268,-1.57483,-0.854834,0.0975694,1.2527,-0.012775,0.999915,0.00264097,0,0,0,0,0,0,0,0,0,0,0,0,-216.225,-475.24,1583.22,-197.227,-512.111,1620.64,-236.515,-489.304,1528.25,113.389,-463.209,1587.36,100.275,-485.173,1616.11,134.188,-472.505,1537.29,-369.737,-308.056,794.165,-352.028,-256.393,826.973,-291.575,-288.815,840.642,-367.328,-271.473,859.462,193.756,-308.098,846.131,240.295,-262.055,843.7,275.374,-301.588,803.565,255.984,-276.389,875.049,-877.772,-693.075,1248.23,-831.472,-690.671,1252.39,-850.832,-694.374,1289.15,-891.066,890.614,1291.37,-846.591,889.278,1266.44,-882.848,889,1244.56,-837.504,-331.98,1277.34,-882,-332.171,1276.43,0,0,0,0,0,0,0.227013,-1.4178,1.70876,0
3774990,-89.9913,90.0041,-14.9933,44.9907,5.00178,4.993,-174.997,89.9838,90.0126,14.9979,44.9904,4.99922,4.98869,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,8.39554,2.13351,2.85597,-6.72426,-0.70726,-2.1964,-0.0802516,-8.03679,4.67663,-2.35793,-5.78253,-0.256188,-1.27272,-0.523043,-0.00398518,-0.517078,1.51836,1.98681,0.283206,-1.49076,-0.0931428,-0.521676,1.51713,-1.96491,0.281668,-1.57227,-0.854834,0.0975694,1.2527,-0.012775,0.999915,0.00264097,0,0,0,0,0,0,0,0,0,0,0,0,-215.878,-475.053,1583.73,-196.726,-511.564,1621.25,-236.249,-489.115,1528.71,113.732,-463.097,1587.26,100.665,-485.05,1616.04,134.453,-472.354,1537.15,-370.473,-308.026,794.907,-352.894,-256.207,827.656,-292.775,-288.958,840.96,-368.164,-271.304,860.173,192.499,-308.045,845.969,239.421,-262.044,843.409,274.387,-301.609,803.181,255.296,-276.135,874.8,-877.788,-693.072,1248.24,-831.469,-690.679,1252.4,-850.84,-694.353,1289.16,-891.121,890.681,1291.35,-846.59,889.301,1266.42,-882.806,888.97,1244.55,-837.515,-331.931,1277.33,-881.998,-332.168,1276.43,0,0,0,0,0,0,0.227015,-1.41781,1.70877,0
3774991,-89.9897,90.0042,-14.9929,44.9906,5.00178,4.993,-174.997,89.9832,90.0145,14.9979,44.9897,4.99922,4.98858,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,8.56482,2.696,2.9129,-6.30852,-0.70437,-2.04506,-0.0701677,-8.14646,4.33439,-2.40415,-5.9168,-0.261021,-1.24672,-0.499314,-0.00372128,-0.517044,1.51848,1.98493,0.283068,-1.49157,-0.0927912,-0.521318,1.51733,-1.967,0.281669,-1.57059,-0.854834,0.0975694,1.2527,-0.012775,0.999915,0.00264097,0,0,0,0,0,0,0,0,0,0,0,0,-215.498,-474.93,1584.19,-196.182,-511.391,1621.69,-235.948,-489.006,1529.22,114.13,-463.021,1587.17,101.105,-484.955,1615.99,134.752,-472.255,1537.04,-371.61,-307.848,795.638,-353.808,-256.124,828.35,-293.55,-288.777,841.629,-369.022,-271.178,860.949,191.472,-307.93,845.86,238.484,-261.96,843.144,273.351,-301.554,802.85,254.295,-276.258,874.412,-877.774,-693.023,1248.24,-831.471,-690.615,1252.42,-850.825,-694.322,1289.18,-891.13,890.687,1291.35,-846.624,889.323,1266.41,-882.89,889.064,1244.55,-837.526,-331.935,1277.36,-882.004,-332.111,1276.43,-859.902,-332.585,1236.93,0,0,0,0.226998,-1.41779,1.70878,0
3774992,-89.9879,90.0044,-14.9929,44.9906,5.00178,4.993,-174.997,89.9831,90.0144,14.9979,44.9895,4.99922,4.98847,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,8.55335,3.33044,2.96157,-5.93239,-0.709219,-1.96378,-0.0836987,-8.3512,3.91265,-2.49938,-6.26693,-0.272677,-1.37811,-0.518952,-0.00343796,-0.516984,1.51856,1.98343,0.283153,-1.49246,-0.0924966,-0.520567,1.51805,-1.96713,0.282075,-1.5732,-0.854834,0.0975694,1.2527,-0.012775,0.999915,0.00264097,0,0,0,0,0,0,0,0,0,0,0,0,-215.077,-474.856,1584.66,-195.932,-511.696,1621.85,-235.485,-489.409,1529.75,114.533,-462.96,1587.1,101.531,-484.894,1615.95,135.085,-472.188,1536.92,-372.673,-307.71,796.341,-354.786,-256.039,829.056,-294.475,-288.735,842.24,-370.034,-270.528,862.017,190.872,-307.715,845.623,237.421,-261.823,842.874,272.349,-301.387,802.518,253.38,-276.1,874.14,-877.784,-692.952,1248.26,-831.482,-690.541,1252.43,-850.858,-694.233,1289.21,-891.123,890.735,1291.34,-846.582,889.389,1266.4,-882.885,889.075,1244.51,-837.533,-331.831,1277.3,-882.054,-332.058,1276.47,-859.865,-332.557,1236.9,0,0,0,0.227022,-1.41781,1.70877,0
3774993,-89.9874,90.0045,-14.9928,44.9907,5.00178,4.99306,-174.997,89.983,90.0139,14.9978,44.9892,4.99922,4.98831,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,8.39651,3.82457,3.03838,-5.70926,-0.690341,-1.87625,-0.0686049,-8.52242,3.42244,-2.53812,-6.42884,-0.270321,-1.42334,-0.505749,-0.00308549,-0.517984,1.51856,1.98131,0.279326,-1.49319,-0.0923692,-0.521316,1.51843,-1.96847,0.28026,-1.57857,-0.854834,0.0975694,1.2527,-0.012775,0.999915,0.00264097,0,0,0,0,0,0,0,0,0,0,0,0,-214.633,-474.845,1585.13,-195.58,-511.875,1622.42,-235.19,-489.387,1530.25,114.965,-463.113,1586.84,101.976,-484.861,1615.89,135.381,-472.13,1536.83,-373.72,-307.605,797.127,-355.791,-255.91,829.822,-295.413,-288.585,842.854,-370.907,-270.829,862.485,189.705,-307.495,845.571,236.446,-261.53,842.663,271.23,-301.062,802.256,252.306,-275.785,874.046,-877.768,-692.887,1248.27,-831.458,-690.473,1252.44,-850.826,-694.169,1289.19,-891.187,890.831,1291.31,-846.599,889.458,1266.42,-882.964,889.193,1244.53,-837.373,-331.815,1277.5,-882.051,-332.003,1276.45,-859.868,-332.502,1236.91,0,0,0,0.227008,-1.41779,1.70876,0
3774994,-89.9872,90.0047,-14.9928,44.9907,5.00178,4.99306,-174.997,89.983,90.0138,14.9978,44.9891,4.99922,4.98793,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,8.27126,4.06377,3.05079,-5.54222,-0.716281,-1.85491,-0.104481,-8.65298,3.12418,-2.57367,-6.51663,-0.272494,-1.4582,-0.526236,-0.00283106,-0.517964,1.51872,1.97892,0.279852,-1.49403,-0.0918794,-0.52131,1.51865,-1.97044,0.278714,-1.57478,-0.854834,0.0975694,1.2527,-0.012775,0.999915,0.00264097,0,0,0,0,0,0,0,0,0,0,0,0,-214.215,-474.881,1585.62,-194.878,-511.721,1623.08,-234.865,-489.431,1530.73,115.386,-463.096,1586.76,102.467,-484.822,1615.82,135.686,-472.082,1536.69,-374.814,-307.455,797.952,-356.826,-255.755,830.594,-296.403,-288.481,843.532,-371.826,-270.69,863.345,188.979,-307.258,845.338,235.518,-261.127,842.478,270.221,-300.678,801.931,251.498,-275.464,873.681,-877.771,-692.844,1248.28,-831.485,-690.419,1252.42,-850.824,-694.147,1289.22,-891.189,890.855,1291.32,-846.662,889.538,1266.42,-883.084,889.321,1244.52,-837.564,-331.783,1277.3,-882.067,-331.956,1276.44,-859.822,-332.454,1236.89,0,0,0,0.22699,-1.4178,1.70877,0
3774995,-89.9872,90.0047,-14.9928,44.9907,5.00178,4.99306,-174.997,89.983,90.0138,14.9978,44.9891,4.99922,4.98793,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,8.27126,4.06377,3.05079,-5.54222,-0.716281,-1.85491,-0.104481,-8.65298,3.12418,-2.57367,-6.51663,-0.272494,-1.4582,-0.526236,-0.00236805,-0.518091,1.51879,1.97768,0.280345,-1.49157,-0.0917059,-0.521017,1.51834,-1.97418,0.285731,-1.57603,-0.854834,0.0975694,1.2527,-0.012775,0.999915,0.00264097,0,0,0,0,0,0,0,0,0,0,0,0,-213.792,-474.993,1586.09,-194.375,-511.891,1623.17,-234.611,-489.025,1531.27,115.787,-463.03,1586.68,102.971,-484.813,1615.73,136.055,-472.006,1536.56,-375.837,-307.325,798.777,-357.849,-255.624,831.422,-297.329,-288.36,844.183,-372.852,-270.611,864.191,187.964,-306.774,845.185,234.689,-260.343,842.445,269.192,-300.101,801.661,250.549,-275.022,873.441,-877.755,-692.853,1248.29,-831.456,-690.459,1252.45,-850.808,-694.155,1289.23,-891.17,890.823,1291.31,-846.665,889.516,1266.39,-883.103,889.314,1244.53,-837.59,-331.815,1277.29,-882.062,-331.957,1276.44,-859.853,-332.443,1236.9,0,0,0,0.227015,-1.4178,1.70876,0
3774996,-89.9872,90.0047,-14.9929,44.9907,5.00178,4.99306,-174.997,89.9829,90.0134,14.9979,44.989,4.99922,4.98695,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,7.97114,4.08056,2.89065,-5.65585,-0.704804,-1.87475,-0.0706543,-8.81062,2.9475,-2.41294,-6.46912,-0.246144,-1.43104,-0.506721,-0.00198129,-0.518118,1.51882,1.97626,0.280858,-1.49173,-0.0913439,-0.521173,1.5187,-1.97537,0.285169,-1.57649,-0.854834,0.0975694,1.2527,-0.012775,0.999915,0.00264097,0,0,0,0,0,0,0,0,0,0,0,0,-213.346,-475.073,1586.56,-193.87,-512.025,1623.67,-234.234,-489.124,1531.77,116.253,-463.027,1586.57,103.483,-484.821,1615.64,136.455,-471.966,1536.42,-376.721,-307.169,799.576,-358.834,-255.429,832.234,-298.479,-288.056,844.863,-373.703,-270.416,865.002,186.776,-306.137,845.103,233.615,-260.041,842.125,268.223,-299.535,801.404,249.746,-274.449,873.253,-877.754,-692.876,1248.28,-831.457,-690.463,1252.43,-850.836,-694.142,1289.2,-891.18,890.778,1291.31,-846.689,889.451,1266.4,-883.061,889.215,1244.51,-837.39,-331.822,1277.49,-882.062,-331.993,1276.44,-859.861,-332.481,1236.9,0,0,0,0.227019,-1.4178,1.70877,0
3774997,-89.9873,90.0047,-14.9929,44.9907,5.00178,4.993,-174.997,89.9828,90.0133,14.9979,44.989,4.99922,4.98678,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,7.4666,3.85004,2.61972,-5.73525,-0.725139,-1.94432,-0.074373,-8.92941,2.89347,-2.32948,-6.47948,-0.2557,-1.42315,-0.510289,-0.00185091,-0.516751,1.51906,1.97397,0.286586,-1.49468,-0.0908442,-0.521547,1.51902,-1.97646,0.28297,-1.57459,-0.854834,0.0975694,1.2527,-0.012775,0.999915,0.00264097,0,0,0,0,0,0,0,0,0,0,0,0,-212.875,-475.231,1587.01,-193.267,-511.875,1624.26,-233.83,-489.29,1532.22,116.73,-462.862,1586.64,104.016,-484.854,1615.54,136.816,-471.94,1536.26,-377.953,-306.857,800.332,-359.831,-255.198,833.121,-299.366,-287.839,845.522,-374.655,-270.243,865.889,185.902,-305.511,845.056,232.737,-259.362,842.003,267.239,-298.931,801.201,248.906,-273.838,873.072,-877.753,-692.941,1248.25,-831.47,-690.513,1252.41,-850.83,-694.227,1289.19,-891.225,890.766,1291.33,-846.671,889.433,1266.43,-883.129,889.198,1244.54,-837.541,-331.9,1277.28,-882.079,-332.049,1276.46,-859.835,-332.548,1236.93,0,0,0,0.226999,-1.41779,1.70877,0
3774998,-89.9874,90.0046,-14.993,44.9907,5.00178,4.993,-174.997,89.9827,90.0132,14.9979,44.9889,4.99922,4.98635,5.00118,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,7.06644,3.6873,2.53966,-5.76,-0.709613,-1.92024,-0.0815076,-8.93305,2.68791,-2.31718,-6.63385,-0.254043,-1.46194,-0.511696,-0.0013948,-0.516971,1.51912,1.97268,0.286817,-1.49291,-0.0906895,-0.521451,1.51912,-1.97915,0.286791,-1.57898,-0.854835,0.0975702,1.2527,-0.0127786,0.999915,0.00263924,0,0,0,0,0,0,0,0,0,0,0,0,-212.381,-475.404,1587.47,-192.865,-512.355,1624.37,-233.478,-489.407,1532.73,117.16,-462.883,1586.54,104.531,-484.911,1615.44,137.198,-471.929,1536.14,-378.887,-306.656,801.169,-360.73,-254.987,833.894,-300.168,-287.557,846.432,-375.502,-270.046,866.739,185.39,-304.896,844.818,231.875,-258.682,841.907,266.319,-298.166,801.031,248.082,-273.204,872.944,-877.751,-693.013,1248.24,-831.454,-690.58,1252.4,-850.818,-694.316,1289.18,-891.191,890.665,1291.35,-846.744,889.343,1266.42,-883.007,889.005,1244.52,-837.55,-331.956,1277.32,-882.022,-332.116,1276.41,-859.81,-332.634,1236.94,0,0,0,0.227014,-1.4178,1.70877,0
