frame_number,q_cur_left_0,q_cur_left_1,q_cur_left_2,q_cur_left_3,q_cur_left_4,q_cur_left_5,q_cur_left_6,q_cur_right_0,q_cur_right_1,q_cur_right_2,q_cur_right_3,q_cur_right_4,q_cur_right_5,q_cur_right_6,q_target_left_0,q_target_left_1,q_target_left_2,q_target_left_3,q_target_left_4,q_target_left_5,q_target_left_6,q_target_right_0,q_target_right_1,q_target_right_2,q_target_right_3,q_target_right_4,q_target_right_5,q_target_right_6,u_cur_left_0,u_cur_left_1,u_cur_left_2,u_cur_left_3,u_cur_left_4,u_cur_left_5,u_cur_left_6,u_cur_right_0,u_cur_right_1,u_cur_right_2,u_cur_right_3,u_cur_right_4,u_cur_right_5,u_cur_right_6,left_base_x,left_base_y,left_base_z,left_base_rx,left_base_ry,left_base_rz,right_base_x,right_base_y,right_base_z,right_base_rx,right_base_ry,right_base_rz,tube_centroid_x,tube_centroid_y,tube_centroid_z,tube_direction_x,tube_direction_y,tube_direction_z,human_RFIN_x,human_RFIN_y,human_RFIN_z,human_LFIN_x,human_LFIN_y,human_LFIN_z,human_RFHD_x,human_RFHD_y,human_RFHD_z,human_LFHD_x,human_LFHD_y,human_LFHD_z,right_base1_x,right_base1_y,right_base1_z,right_base2_x,right_base2_y,right_base2_z,right_base3_x,right_base3_y,right_base3_z,left_base1_x,left_base1_y,left_base1_z,left_base2_x,left_base2_y,left_base2_z,left_base3_x,left_base3_y,left_base3_z,right_tip1_x,right_tip1_y,right_tip1_z,right_tip2_x,right_tip2_y,right_tip2_z,right_tip3_x,right_tip3_y,right_tip3_z,right_tip4_x,right_tip4_y,right_tip4_z,left_tip1_x,left_tip1_y,left_tip1_z,left_tip2_x,left_tip2_y,left_tip2_z,left_tip3_x,left_tip3_y,left_tip3_z,left_tip4_x,left_tip4_y,left_tip4_z,tube_tip1_x,tube_tip1_y,tube_tip1_z,tube_tip2_x,tube_tip2_y,tube_tip2_z,tube_tip3_x,tube_tip3_y,tube_tip3_z,tube_end1_x,tube_end1_y,tube_end1_z,tube_end2_x,tube_end2_y,tube_end2_z,tube_end3_x,tube_end3_y,tube_end3_z,tube_mid1_x,tube_mid1_y,tube_mid1_z,tube_mid2_x,tube_mid2_y,tube_mid2_z,tube_mid3_x,tube_mid3_y,tube_mid3_z,head_x,head_y,head_z,target_x,target_y,target_z,state_idx
4094705,-89.993,90.0082,-14.9918,44.9862,5.00317,4.99302,-174.997,89.9883,90.0084,15.0036,44.9946,4.99823,4.9888,4.99557,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.88749,2.90191,2.70787,-5.87642,-0.621763,-1.94666,-0.200811,-11.0624,4.33305,-3.49489,-5.83559,-0.239123,-1.48121,-0.50707,-0.0103287,-0.370169,1.50562,1.95583,0.252974,-1.58629,-0.099626,-0.366311,1.50642,-1.99209,0.258453,-1.66969,-0.856782,-0.0893188,1.25035,0.00881929,0.999948,0.00502309,-0.179575,-0.802382,1.0637,-0.0261042,-0.817269,1.01707,-0.11406,-0.891725,1.52171,-0.0185015,-0.889551,1.53086,-215.664,-306.555,1575.37,-198.68,-343.758,1613.52,-238.693,-319.145,1521.43,113.668,-323.771,1569.7,99.6097,-343.447,1599.61,132.006,-335.762,1519.47,-378.112,-146.583,786.638,-355.149,-95.7106,817.434,-298.282,-132.879,830.353,-370.646,-108.45,851.098,184.179,-192.44,822.982,234.253,-150.514,818.251,264.582,-193.974,778.233,249.519,-165.413,849.629,-900.658,-881.789,1253.04,-855.414,-879.799,1241.32,-861.283,-883.664,1282.46,-866.114,701.673,1295.19,-834.178,700.21,1256.74,-874.798,701.101,1249.14,-887.307,-520.674,1280.49,-845.015,-521.638,1266.35,-879.105,-521.887,1235.66,-0.00243077,-0.845559,1.51906,0.226978,-1.41809,1.7087,0
4094706,-89.993,90.0082,-14.9918,44.9862,5.00317,4.99302,-174.997,89.9883,90.0084,15.0036,44.9946,4.99823,4.9888,4.99557,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.88749,2.90191,2.70787,-5.87642,-0.621763,-1.94666,-0.200811,-11.0624,4.33305,-3.49489,-5.83559,-0.239123,-1.48121,-0.50707,-0.0102971,-0.369989,1.50559,1.95711,0.24913,-1.58395,-0.0999364,-0.366946,1.5061,-1.9901,0.25442,-1.67273,-0.856782,-0.0893188,1.25035,0.00881929,0.999948,0.00502309,-0.17928,-0.802045,1.06341,-0.0258546,-0.817719,1.01819,-0.114386,-0.891322,1.52212,-0.0188607,-0.889384,1.53155,-215.824,-306.085,1574.73,-198.975,-343.107,1613.18,-238.835,-318.618,1520.77,113.529,-323.052,1569.65,99.4747,-342.634,1599.62,131.956,-335.188,1519.48,-377.25,-148.783,785.165,-354.252,-97.8871,815.862,-297.579,-134.935,829.089,-369.741,-110.509,849.562,185.019,-194.157,822.637,235.181,-152.039,817.876,265.637,-195.659,777.997,250.431,-166.899,849.302,-900.677,-881.722,1253.09,-855.431,-879.712,1241.31,-861.295,-883.593,1282.51,-866.037,701.755,1295.18,-834.406,700.587,1256.74,-874.763,701.17,1249.12,-887.283,-520.621,1280.49,-845.025,-521.557,1266.34,-879.087,-521.812,1235.64,-0.00269778,-0.846472,1.51913,0.226981,-1.41807,1.70869,0
4094707,-89.9929,90.0081,-14.9918,44.9862,5.00317,4.99302,-174.997,89.9875,90.0104,15.0036,44.9945,4.99823,4.9888,4.99557,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.06454,2.98321,2.70764,-5.64427,-0.661002,-1.85764,-0.185938,-11.3244,3.95322,-3.49781,-6.10087,-0.228515,-1.5393,-0.487688,-0.0102663,-0.369532,1.50549,1.95873,0.245957,-1.58223,-0.0990526,-0.363909,1.50679,-1.98564,0.246544,-1.66043,-0.856782,-0.0893188,1.25035,0.00881929,0.999948,0.00502309,-0.178828,-0.801795,1.06326,-0.0255061,-0.818247,1.01928,-0.114707,-0.891139,1.52251,-0.0190412,-0.889172,1.53221,-216.024,-305.629,1574.04,-199.138,-342.567,1612.28,-238.671,-319.974,1520.13,113.398,-322.349,1569.56,99.3251,-341.878,1599.56,131.916,-334.692,1519.44,-376.118,-150.974,783.719,-353.351,-99.8546,814.292,-295.869,-136.804,827.56,-368.916,-112.37,848.01,186.156,-195.552,822.238,236.14,-153.567,817.473,266.749,-197.397,777.83,251.403,-168.296,848.986,-900.677,-881.635,1253.14,-855.423,-879.744,1241.31,-861.285,-883.495,1282.51,-866.013,701.847,1295.15,-834.137,700.387,1256.74,-874.755,701.244,1249.11,-887.276,-520.544,1280.48,-845.006,-521.484,1266.32,-879.1,-521.735,1235.63,-0.00296107,-0.847379,1.51921,0.226976,-1.41808,1.70869,0
4094708,-89.9929,90.0081,-14.9918,44.9863,5.00317,4.99312,-174.997,89.9874,90.0103,15.0036,44.9944,4.99823,4.9888,4.99557,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.16661,3.20035,2.73299,-5.28693,-0.659963,-1.74654,-0.202319,-11.3123,3.59082,-3.56715,-6.15603,-0.237604,-1.58967,-0.505237,-0.0103555,-0.368863,1.50533,1.96011,0.243284,-1.58298,-0.0994415,-0.364788,1.50553,-1.98551,0.250745,-1.66326,-0.856782,-0.0893188,1.25035,0.00881929,0.999948,0.00502309,-0.178309,-0.801685,1.0632,-0.0250025,-0.818863,1.0205,-0.114848,-0.89073,1.52298,-0.0192119,-0.888889,1.53289,-216.158,-305.127,1573.3,-199.221,-341.978,1611.82,-238.801,-318.29,1519.39,113.275,-321.703,1569.42,99.1406,-341.152,1599.46,131.841,-334.227,1519.37,-375.247,-152.835,782.31,-352.441,-101.612,812.781,-294.888,-138.52,826.202,-367.988,-114.153,846.4,187.229,-197.034,821.833,237.169,-155.064,817.074,267.796,-198.88,777.565,252.343,-169.673,848.616,-900.682,-881.582,1253.16,-855.384,-879.747,1241.4,-861.295,-883.436,1282.54,-866.028,701.892,1295.14,-834.172,700.495,1256.68,-874.792,701.327,1249.09,-887.28,-520.47,1280.46,-845.006,-521.45,1266.32,-879.09,-521.7,1235.6,-0.00321844,-0.848278,1.51929,0.22698,-1.41807,1.70869,0
4094709,-89.9929,90.008,-14.9918,44.9863,5.00317,4.99312,-174.997,89.9874,90.0102,15.0035,44.9944,4.99823,4.9888,4.99557,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.1297,3.05715,2.73416,-5.31952,-0.675949,-1.77331,-0.195145,-11.21,3.32164,-3.59545,-6.29881,-0.258211,-1.6361,-0.516853,-0.0104543,-0.368328,1.50508,1.96138,0.241095,-1.58369,-0.0995083,-0.364318,1.505,-1.98427,0.24895,-1.66265,-0.856782,-0.0893188,1.25035,0.00881929,0.999948,0.00502309,-0.177685,-0.801766,1.06322,-0.0243946,-0.819521,1.02169,-0.114854,-0.890125,1.52351,-0.0192896,-0.888521,1.53342,-216.319,-304.634,1572.52,-199.434,-341.342,1611.08,-238.908,-317.959,1518.6,113.148,-321.117,1569.22,98.9557,-340.481,1599.29,131.762,-333.752,1519.22,-374.205,-154.571,780.838,-351.476,-103.288,811.171,-293.948,-140.061,824.761,-367.132,-115.618,844.935,188.395,-198.407,821.413,238.161,-156.414,816.65,268.949,-200.369,777.31,253.35,-170.939,848.245,-900.697,-881.537,1253.16,-855.371,-879.675,1241.44,-861.298,-883.391,1282.55,-866.069,701.95,1295.12,-834.263,700.557,1256.66,-874.827,701.372,1249.08,-887.301,-520.42,1280.45,-845.031,-521.357,1266.33,-879.108,-521.642,1235.62,-0.00346937,-0.849168,1.51939,0.226984,-1.41807,1.70868,0
4094710,-89.9929,90.0077,-14.9918,44.9863,5.00317,4.99312,-174.997,89.9875,90.0102,15.0036,44.9943,4.99823,4.9888,4.99557,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,5.06585,2.76243,2.61358,-5.46935,-0.638485,-1.83029,-0.211414,-10.9172,3.21332,-3.56279,-6.3,-0.250906,-1.6287,-0.498054,-0.0105489,-0.367789,1.50476,1.96288,0.23856,-1.58385,-0.0997603,-0.365003,1.50476,-1.98092,0.243357,-1.66575,-0.856782,-0.0893188,1.25035,0.00881929,0.999948,0.00502309,-0.176939,-0.802051,1.06337,-0.0236945,-0.820224,1.02288,-0.114797,-0.889716,1.52407,-0.0190463,-0.888379,1.53433,-216.489,-304.169,1571.69,-199.8,-340.737,1610.64,-238.989,-317.552,1517.78,112.986,-320.513,1568.95,98.7401,-339.804,1599.04,131.66,-333.295,1519.01,-373.214,-156.043,779.365,-350.536,-104.788,809.633,-293.024,-141.522,823.46,-366.267,-117.016,843.339,189.362,-199.614,820.98,239.272,-157.696,816.153,270.081,-201.753,776.97,254.336,-172.173,847.813,-900.665,-881.504,1253.16,-855.391,-879.603,1241.44,-861.291,-883.356,1282.55,-866.124,701.958,1295.12,-834.346,700.608,1256.65,-874.895,701.396,1249.08,-887.305,-520.406,1280.48,-845.056,-521.292,1266.33,-879.125,-521.614,1235.64,-0.00371094,-0.850051,1.51949,0.226979,-1.41807,1.70868,0
4094711,-89.9929,90.007,-14.9918,44.9863,5.00317,4.99307,-174.997,89.9877,90.0102,15.0036,44.9944,4.99823,4.9888,4.99557,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.92561,2.403,2.45882,-5.62967,-0.664649,-1.86892,-0.218388,-10.4817,3.42159,-3.43567,-6.16433,-0.245529,-1.59201,-0.4898,-0.0106078,-0.367287,1.50444,1.96426,0.235772,-1.5827,-0.0991365,-0.362667,1.50509,-1.97738,0.234397,-1.65677,-0.856782,-0.0893188,1.25035,0.00881929,0.999948,0.00502309,-0.176125,-0.802533,1.06355,-0.0228852,-0.820973,1.0241,-0.114782,-0.889667,1.52468,-0.0188887,-0.88809,1.53514,-216.665,-303.698,1570.78,-199.953,-340.254,1609.68,-238.919,-318.762,1516.89,112.802,-319.888,1568.62,98.5347,-339.136,1598.74,131.549,-332.889,1518.73,-372.091,-157.403,777.927,-349.567,-106.034,808.099,-291.988,-142.764,822.06,-365.218,-118.233,841.833,190.51,-200.803,820.398,240.338,-158.927,815.631,271.276,-203.033,776.611,255.357,-173.327,847.351,-900.674,-881.531,1253.14,-855.281,-879.922,1241.69,-861.272,-883.395,1282.56,-866.181,701.943,1295.13,-834.34,700.504,1256.68,-874.946,701.37,1249.08,-887.317,-520.421,1280.48,-845.057,-521.364,1266.37,-879.138,-521.625,1235.66,-0.00394896,-0.850927,1.5196,0.226987,-1.41808,1.70869,0
4094712,-89.9929,90.007,-14.9918,44.9863,5.00317,4.99307,-174.997,89.9877,90.0102,15.0036,44.9944,4.99823,4.9888,4.99557,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.92561,2.403,2.45882,-5.62967,-0.664649,-1.86892,-0.218388,-10.4817,3.42159,-3.43567,-6.16433,-0.245529,-1.59201,-0.4898,-0.0106703,-0.366922,1.50394,1.96579,0.23398,-1.58183,-0.0997951,-0.364403,1.50351,-1.97784,0.237517,-1.66251,-0.856782,-0.0893188,1.25035,0.00881929,0.999948,0.00502309,-0.175276,-0.803147,1.06373,-0.0219822,-0.821742,1.02525,-0.114464,-0.88899,1.52536,-0.018571,-0.887775,1.5359,-216.818,-303.236,1569.84,-200.077,-339.637,1609.18,-239.166,-316.9,1515.92,112.621,-319.336,1568.22,98.3355,-338.499,1598.32,131.449,-332.416,1518.37,-371.016,-158.606,776.436,-348.479,-107.159,806.543,-290.959,-143.798,820.686,-364.306,-119.264,840.242,191.525,-201.998,819.959,241.478,-160.042,815.061,272.404,-204.346,776.181,256.351,-174.451,846.798,-900.653,-881.577,1253.09,-855.319,-879.779,1241.23,-861.277,-883.436,1282.51,-866.25,701.905,1295.12,-834.41,700.475,1256.65,-875.011,701.326,1249.09,-887.349,-520.469,1280.5,-845.074,-521.432,1266.38,-879.151,-521.676,1235.66,-0.00418045,-0.851794,1.51972,0.226994,-1.41808,1.70869,0
4094713,-89.993,90.0059,-14.9919,44.9862,5.00317,4.99307,-174.997,89.9884,90.0104,15.0038,44.9946,4.99823,4.98885,4.99557,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.79008,2.12946,2.29642,-5.72543,-0.663475,-1.92158,-0.218636,-9.20141,3.8861,-2.97927,-5.8387,-0.206868,-1.48902,-0.516476,-0.010707,-0.36677,1.5034,1.96779,0.230401,-1.5797,-0.0997203,-0.363165,1.50257,-1.97696,0.239795,-1.66036,-0.856782,-0.0893188,1.25035,0.00881929,0.999948,0.00502309,-0.174255,-0.803966,1.06388,-0.0208769,-0.822583,1.02629,-0.114177,-0.888858,1.52601,-0.018282,-0.88746,1.5367,-216.971,-302.808,1568.8,-200.294,-339.138,1607.85,-239.2,-316.581,1514.91,112.382,-318.753,1567.74,98.071,-337.832,1597.88,131.323,-331.975,1517.98,-369.743,-159.681,774.949,-347.439,-108.144,804.977,-289.923,-144.748,819.265,-363.217,-120.2,838.68,192.572,-203.09,819.33,242.446,-161.158,814.444,273.546,-205.493,775.737,257.448,-175.215,846.358,-900.646,-881.662,1253.07,-855.361,-879.793,1241.18,-861.301,-883.515,1282.52,-866.349,701.788,1295.15,-834.451,700.403,1256.71,-875.038,701.254,1249.1,-887.371,-520.547,1280.49,-845.093,-521.509,1266.4,-879.129,-521.762,1235.64,-0.00440644,-0.852653,1.51985,0.226974,-1.41808,1.70869,0
4094714,-89.993,90.0044,-14.9919,44.9862,5.00317,4.99302,-174.997,89.9891,90.0105,15.0038,44.9947,4.99823,4.98885,4.99557,-90,90,-15,45,5,5,-175,90,90,15,45,5,5,5,4.37937,1.86677,2.15393,-5.88901,-0.66705,-1.95465,-0.216408,-8.43138,3.98864,-2.72782,-5.78045,-0.187218,-1.46698,-0.500978,-0.010779,-0.366527,1.50281,1.96946,0.227564,-1.57833,-0.0996315,-0.363062,1.50244,-1.97397,0.229251,-1.65824,-0.856787,-0.0893244,1.25035,0.00881765,0.999948,0.00502948,-0.173156,-0.804986,1.06401,-0.0197322,-0.823474,1.02728,-0.113706,-0.888625,1.52667,-0.0179211,-0.887124,1.53745,-217.116,-302.373,1567.73,-200.479,-338.374,1607.17,-239.267,-317.002,1513.83,112.159,-318.173,1567.22,97.8147,-337.182,1597.4,131.201,-331.518,1517.52,-368.814,-160.548,773.335,-346.323,-109.011,803.366,-288.945,-145.581,817.851,-362.301,-121.059,837.081,193.564,-204.182,818.624,243.591,-161.979,813.904,274.64,-206.621,775.199,258.281,-176.517,845.562,-900.627,-881.749,1253.05,-855.291,-879.937,1241.19,-861.265,-883.609,1282.47,-866.398,701.74,1295.15,-834.481,700.326,1256.7,-875.069,701.175,1249.12,-887.38,-520.638,1280.5,-845.085,-521.576,1266.4,-879.164,-521.836,1235.68,-0.00462663,-0.853503,1.51998,0.226969,-1.41808,1.7087,0
